rank,game,prize,players,tournaments,month,year
18,FIFA Online 4,229121.67,126,4,7,2022
19,CrossFire HD,222045.0,47,1,7,2022
20,Free Fire,188274.73,4,1,7,2022
21,Halo Infinite,150000.0,14,2,7,2022
22,Chess.com,145000.0,82,17,7,2022
23,chess24,140250.0,15,1,7,2022
24,rFactor 2,102159.47,35,2,7,2022
25,Brawlhalla,100560.0,147,13,7,2022
26,League of Legends,74697.11,82,3,7,2022
27,Quake Champions,67163.16,17,4,7,2022
28,WarCraft III: Reforged,47399.6,23,11,7,2022
29,Assetto Corsa Competizione,44370.0,15,2,7,2022
30,Trackmania (2020),33587.04,83,16,7,2022
31,Age of Empires IV,29719.0,56,23,7,2022
32,Tekken 7,29036.0,20,7,7,2022
33,Super Smash Bros. Ultimate,28323.38,56,9,7,2022
34,StarCraft: Remastered,28301.8,39,4,7,2022
35,Age of Empires II,26249.0,88,20,7,2022
36,Gwent,23000.0,8,1,7,2022
37,Naraka: Bladepoint,20000.0,18,2,7,2022
38,osu!,19855.91,53,7,7,2022
39,Street Fighter V: Champion Edition,15000.0,12,3,7,2022
40,Assetto Corsa,12974.0,20,2,7,2022
41,Teamfight Tactics,12971.03,38,2,7,2022
42,Mobile Legends: Bang Bang,10000.0,19,1,7,2022
43,Call of Duty: Warzone,7000.0,8,3,7,2022
44,Minecraft,6000.0,12,3,7,2022
45,Super Smash Bros. Melee,5140.29,13,2,7,2022
46,Rezzil Player,5000.0,10,1,7,2022
47,Diabotical,4960.28,34,15,7,2022
48,iRacing.com,4183.2,6,1,7,2022
49,Lichess,2000.0,9,2,7,2022
50,Quake Live,1500.0,6,1,7,2022
51,Age of Empires,1244.0,8,1,7,2022
52,DNF Duel,1000.0,4,1,7,2022
53,VAIL VR,1000.0,20,1,7,2022
54,Rivals of Aether,810.35,4,1,7,2022
55,Age of Empires III,550.0,8,1,7,2022
56,Racket: NX,500.0,3,1,7,2022
57,Age of Mythology,100.0,4,1,7,2022
58,Nock,50.0,2,1,7,2022
1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,7579007.48,517,8,8,2022
2,Fortnite,3348900.0,367,42,8,2022
3,Call of Duty: Vanguard,2810000.0,68,3,8,2022
4,Rocket League,2153240.15,341,21,8,2022
5,Rainbow Six Siege,1975993.34,175,7,8,2022
6,Dota 2,1278151.53,363,12,8,2022
7,League of Legends,704674.0,216,9,8,2022
8,CrossFire,618315.0,97,2,8,2022
9,Arena of Valor,438150.0,40,1,8,2022
10,Hearthstone,400415.74,127,3,8,2022
11,Counter-Strike: Global Offensive,376299.91,362,16,8,2022
12,CrossFire Mobile,355320.0,0,1,8,2022
13,Naraka: Bladepoint,272189.43,63,2,8,2022
14,PLAYERUNKNOWN’S BATTLEGROUNDS,242199.97,286,8,8,2022
15,chess24,215000.0,8,1,8,2022
16,Chess.com,205000.0,46,7,8,2022
17,VALORANT,182706.01,130,5,8,2022
18,Overwatch 2,175000.0,100,3,8,2022
19,Call of Duty: Mobile,164758.0,71,3,8,2022
20,Quake Champions,156550.0,40,2,8,2022
21,Halo Infinite,125000.0,48,1,8,2022
22,Super People,120000.0,87,6,8,2022
23,MultiVersus,113202.5,54,9,8,2022
24,FIFA Online 4,100000.0,46,1,8,2022
25,eFootball,80000.0,24,4,8,2022
26,Teamfight Tactics,78031.03,57,4,8,2022
27,Identity V,74087.04,7,1,8,2022
28,StarCraft II,73635.0,71,24,8,2022
29,Apex Legends,60493.59,86,12,8,2022
30,Heroes of the Storm,60125.0,48,1,8,2022
31,League of Legends: Wild Rift,52895.8,35,1,8,2022
32,Brawlhalla,52000.0,80,7,8,2022
33,Age of Empires II,35944.45,118,21,8,2022
34,Trackmania (2020),31046.91,55,14,8,2022
35,Tekken 7,30751.56,15,3,8,2022
36,Street Fighter V: Champion Edition,29872.44,28,5,8,2022
37,iRacing.com,29183.2,30,2,8,2022
38,WarCraft III: Reforged,27171.0,25,15,8,2022
39,StarCraft: Remastered,26141.0,16,4,8,2022
40,Guilty Gear -STRIVE-,23689.08,15,2,8,2022
41,Call of Duty: Warzone,20000.0,6,1,8,2022
42,Assetto Corsa Competizione,14850.0,20,2,8,2022
43,Dragon Ball FighterZ,13444.26,14,2,8,2022
44,Assetto Corsa,12641.0,20,2,8,2022
45,King of Fighters XV,12107.8,16,2,8,2022
46,Age of Empires IV,10837.0,43,11,8,2022
47,Age of Empires III,9000.0,16,1,8,2022
48,Super Smash Bros. Ultimate,8585.01,12,2,8,2022
49,Beat Saber,6231.0,24,1,8,2022
50,Team Fortress 2,5866.84,12,1,8,2022
51,Granblue Fantasy: Versus,5250.0,8,1,8,2022
52,Rezzil Player,5200.0,11,1,8,2022
53,Mortal Kombat 11,4640.0,8,1,8,2022
54,Melty Blood: Type Lumina,4110.0,8,1,8,2022
55,Diabotical,3139.09,27,11,8,2022
56,Skullgirls 2nd Encore,2950.0,8,1,8,2022
57,Minecraft,2500.0,11,2,8,2022
